Id	5_Fold	Genre	Song
6	1	cou	country.00011.wav
7	2	cou	country.00012.wav
8	3	cou	country.00015.wav
9	4	cou	country.00016.wav
10	5	cou	country.00017.wav
11	1	cou	country.00029.wav
12	2	cou	country.00043.wav
13	3	cou	country.00052.wav
14	4	cou	country.00054.wav
15	5	cou	country.00055.wav
16	1	cou	country.00056.wav
17	2	cou	country.00068.wav
18	3	cou	country.00070.wav
19	4	cou	country.00071.wav
20	5	cou	country.00072.wav
21	1	cou	country.00073.wav
22	2	cou	country.00074.wav
23	3	cou	country.00075.wav
24	4	cou	country.00076.wav
25	5	cou	country.00078.wav
26	1	cou	country.00086.wav
27	2	cou	country.00088.wav
28	3	cou	country.00089.wav
29	4	cou	country.00090.wav
30	5	cou	country.00091.wav
1	1	dis	disco.00000.wav
2	2	dis	disco.00001.wav
3	3	dis	disco.00005.wav
4	4	dis	disco.00006.wav
5	5	dis	disco.00007.wav
6	1	dis	disco.00008.wav
7	2	dis	disco.00010.wav
8	3	dis	disco.00011.wav
9	4	dis	disco.00013.wav
10	5	dis	disco.00014.wav
11	1	dis	disco.00015.wav
12	2	dis	disco.00016.wav
13	3	dis	disco.00027.wav
14	4	dis	disco.00031.wav
15	5	dis	disco.00032.wav
16	1	dis	disco.00033.wav
17	2	dis	disco.00037.wav
18	3	dis	disco.00041.wav
19	4	dis	disco.00045.wav
20	5	dis	disco.00046.wav
21	1	dis	disco.00070.wav
22	2	dis	disco.00071.wav
23	3	dis	disco.00072.wav
24	4	dis	disco.00073.wav
25	5	dis	disco.00075.wav
26	1	dis	disco.00076.wav
27	2	dis	disco.00077.wav
28	3	dis	disco.00078.wav
29	4	dis	disco.00079.wav
30	5	dis	disco.00093.wav
1	1	hip	hiphop.00000.wav
2	2	hip	hiphop.00001.wav
3	3	hip	hiphop.00002.wav
4	4	hip	hiphop.00003.wav
5	5	hip	hiphop.00004.wav
6	1	hip	hiphop.00005.wav
7	2	hip	hiphop.00006.wav
8	3	hip	hiphop.00007.wav
9	4	hip	hiphop.00009.wav
10	5	hip	hiphop.00010.wav
11	1	hip	hiphop.00011.wav
12	2	hip	hiphop.00012.wav
13	3	hip	hiphop.00013.wav
14	4	hip	hiphop.00015.wav
15	5	hip	hiphop.00017.wav
16	1	hip	hiphop.00018.wav
17	2	hip	hiphop.00019.wav
18	3	hip	hiphop.00020.wav
19	4	hip	hiphop.00023.wav
20	5	hip	hiphop.00026.wav
21	1	hip	hiphop.00030.wav
22	2	hip	hiphop.00031.wav
23	3	hip	hiphop.00032.wav
24	4	hip	hiphop.00033.wav
25	5	hip	hiphop.00037.wav
26	1	hip	hiphop.00038.wav
27	2	hip	hiphop.00039.wav
28	3	hip	hiphop.00041.wav
29	4	hip	hiphop.00042.wav
30	5	hip	hiphop.00058.wav
1	1	jaz	jazz.00002.wav
2	2	jaz	jazz.00003.wav
3	3	jaz	jazz.00004.wav
4	4	jaz	jazz.00005.wav
5	5	jaz	jazz.00006.wav
6	1	jaz	jazz.00007.wav
7	2	jaz	jazz.00008.wav
8	3	jaz	jazz.00009.wav
9	4	jaz	jazz.00010.wav
10	5	jaz	jazz.00012.wav
11	1	jaz	jazz.00013.wav
12	2	jaz	jazz.00014.wav
13	3	jaz	jazz.00016.wav
14	4	jaz	jazz.00017.wav
15	5	jaz	jazz.00019.wav
16	1	jaz	jazz.00020.wav
17	2	jaz	jazz.00022.wav
18	3	jaz	jazz.00023.wav
19	4	jaz	jazz.00024.wav
20	5	jaz	jazz.00025.wav
21	1	jaz	jazz.00026.wav
22	2	jaz	jazz.00028.wav
23	3	jaz	jazz.00029.wav
24	4	jaz	jazz.00030.wav
25	5	jaz	jazz.00032.wav
26	1	jaz	jazz.00033.wav
27	2	jaz	jazz.00034.wav
28	3	jaz	jazz.00035.wav
29	4	jaz	jazz.00036.wav
30	5	jaz	jazz.00038.wav
1	1	met	metal.00000.wav
2	2	met	metal.00001.wav
3	3	met	metal.00002.wav
4	4	met	metal.00003.wav
5	5	met	metal.00004.wav
6	1	met	metal.00005.wav
7	2	met	metal.00006.wav
8	3	met	metal.00007.wav
9	4	met	metal.00009.wav
10	5	met	metal.00010.wav
11	1	met	metal.00014.wav
12	2	met	metal.00015.wav
13	3	met	metal.00016.wav
14	4	met	metal.00017.wav
15	5	met	metal.00020.wav
16	1	met	metal.00021.wav
17	2	met	metal.00022.wav
18	3	met	metal.00024.wav
19	4	met	metal.00025.wav
20	5	met	metal.00026.wav
21	1	met	metal.00031.wav
22	2	met	metal.00032.wav
23	3	met	metal.00044.wav
24	4	met	metal.00055.wav
25	5	met	metal.00089.wav
26	1	met	metal.00090.wav
27	2	met	metal.00091.wav
28	3	met	metal.00092.wav
29	4	met	metal.00093.wav
30	5	met	metal.00094.wav
1	1	pop	pop.00001.wav
2	2	pop	pop.00003.wav
3	3	pop	pop.00004.wav
4	4	pop	pop.00005.wav
5	5	pop	pop.00007.wav
6	1	pop	pop.00008.wav
7	2	pop	pop.00020.wav
8	3	pop	pop.00023.wav
9	4	pop	pop.00024.wav
10	5	pop	pop.00025.wav
11	1	pop	pop.00026.wav
12	2	pop	pop.00027.wav
13	3	pop	pop.00028.wav
14	4	pop	pop.00030.wav
15	5	pop	pop.00032.wav
16	1	pop	pop.00034.wav
17	2	pop	pop.00035.wav
18	3	pop	pop.00036.wav
19	4	pop	pop.00039.wav
20	5	pop	pop.00043.wav
21	1	pop	pop.00044.wav
22	2	pop	pop.00049.wav
23	3	pop	pop.00052.wav
24	4	pop	pop.00072.wav
25	5	pop	pop.00084.wav
26	1	pop	pop.00085.wav
27	2	pop	pop.00086.wav
28	3	pop	pop.00092.wav
29	4	pop	pop.00094.wav
30	5	pop	pop.00095.wav
1	1	reg	reggae.00000.wav
2	2	reg	reggae.00001.wav
3	3	reg	reggae.00002.wav
4	4	reg	reggae.00003.wav
5	5	reg	reggae.00004.wav
6	1	reg	reggae.00005.wav
7	2	reg	reggae.00009.wav
8	3	reg	reggae.00010.wav
9	4	reg	reggae.00011.wav
10	5	reg	reggae.00012.wav
11	1	reg	reggae.00015.wav
12	2	reg	reggae.00020.wav
13	3	reg	reggae.00024.wav
14	4	reg	reggae.00031.wav
15	5	reg	reggae.00039.wav
16	1	reg	reggae.00046.wav
17	2	reg	reggae.00047.wav
18	3	reg	reggae.00049.wav
19	4	reg	reggae.00050.wav
20	5	reg	reggae.00052.wav
21	1	reg	reggae.00053.wav
22	2	reg	reggae.00061.wav
23	3	reg	reggae.00068.wav
24	4	reg	reggae.00080.wav
25	5	reg	reggae.00083.wav
26	1	reg	reggae.00084.wav
27	2	reg	reggae.00085.wav
28	3	reg	reggae.00086.wav
29	4	reg	reggae.00092.wav
30	5	reg	reggae.00094.wav
1	1	roc	rock.00011.wav
2	2	roc	rock.00012.wav
3	3	roc	rock.00031.wav
4	4	roc	rock.00035.wav
5	5	roc	rock.00037.wav
6	1	roc	rock.00038.wav
7	2	roc	rock.00039.wav
8	3	roc	rock.00042.wav
9	4	roc	rock.00043.wav
10	5	roc	rock.00044.wav
11	1	roc	rock.00045.wav
12	2	roc	rock.00047.wav
13	3	roc	rock.00051.wav
14	4	roc	rock.00056.wav
15	5	roc	rock.00057.wav
16	1	roc	rock.00059.wav
17	2	roc	rock.00061.wav
18	3	roc	rock.00064.wav
19	4	roc	rock.00065.wav
20	5	roc	rock.00066.wav
21	1	roc	rock.00068.wav
22	2	roc	rock.00073.wav
23	3	roc	rock.00077.wav
24	4	roc	rock.00080.wav
25	5	roc	rock.00082.wav
26	1	roc	rock.00085.wav
27	2	roc	rock.00086.wav
28	3	roc	rock.00087.wav
29	4	roc	rock.00088.wav
30	5	roc	rock.00090.wav
